embedding_x,embedding_y
13.638331,1.355916
11.876697,3.2200432
11.6929865,2.4818716
-3.1681547,-1.7047971
2.868047,-3.6432424
10.895675,2.505148
13.249556,0.33513093
-7.657929,21.161354
12.121967,0.8593549
-0.3440445,16.621862
-12.72149,9.777056
-3.697933,-1.9676524
14.237267,-1.1766509
3.140164,-5.8198366
11.745461,2.5154512
14.1665125,-1.0953295
-3.6949587,-1.9580625
-1.6042135,-8.996952
14.144211,-0.63163227
14.086772,-0.531971
-4.7383237,-4.4809837
11.248947,2.447921
9.939966,12.553815
13.253457,0.31879762
-1.6032794,-8.998794
14.362034,14.486195
6.736032,-6.738443
12.460123,11.578331
5.715572,21.92169
15.081128,0.51549774
11.942687,12.431361
6.876704,-7.6834917
-9.593904,10.64103
-2.4664297,-1.8007826
9.8225975,12.555283
14.163095,-1.0861596
10.605362,12.342592
14.2499,0.03481755
13.036581,13.92467
9.227091,12.47993
11.162466,4.970315
15.760215,2.171784
2.6989338,-6.3034124
6.411584,-7.129469
6.3646545,-7.266921
8.973271,14.396361
14.283515,-0.16512112
12.090662,12.416952
11.544575,9.96348
6.643865,-6.813347
-2.6856112,20.841639
17.893457,-5.777404
11.311676,-7.64724
6.1350164,9.069325
-5.090388,5.3705287
-3.8845162,-12.236109
15.712391,14.778784
11.272584,-7.6863937
3.1372771,-5.6696725
-0.8680401,8.389582
-0.3408407,16.662987
-4.6380205,-6.9636974
-9.3816595,8.079715
-1.3389136,22.936573
-12.47788,-5.2191696
14.162049,-1.0957093
12.511524,11.870484
13.80518,1.3025701
14.500054,0.7366297
-1.6172149,-8.96121
-5.105511,2.4484456
14.158833,-0.9990835
-1.6045889,-8.996561
-4.491168,-7.1123166
11.9185095,3.2320304
14.155794,-0.60146
15.042159,2.9893563
6.044694,-7.2332644
-1.6056466,-8.974233
11.94914,2.8512805
-5.1038127,2.4589157
8.985261,15.439654
3.2886999,-6.4471183
10.790626,5.6702385
8.786793,-14.567728
6.7429504,-6.7703037
11.272997,-7.686171
11.054428,4.830165
14.312335,14.308732
-2.4889393,-1.7915833
8.874817,12.458259
-5.983887,14.43418
10.952605,2.539929
-9.589948,10.642873
14.150548,-0.9616524
15.22068,0.25809368
6.7322745,-6.7267127
12.231299,9.272641
10.745906,4.844618
-5.7677426,3.7894392
-12.476806,-5.286159
11.463407,1.1768397
11.386922,-7.569728
-8.009998,20.829222
11.945667,3.3451664
-6.612682,15.41042
-1.6398549,-8.899245
14.47562,1.2164859
-7.046421,15.225692
-4.1050324,-12.4220295
-1.6040885,-8.996319
8.964517,-14.3937
12.116443,0.90615726
9.228153,12.479671
-8.230055,8.393631
15.172522,2.5520823
13.249895,0.32907698
-1.6932967,24.139997
9.380514,3.807961
15.25277,14.350528
14.526815,0.65617317
10.693108,3.2120776
-1.5917714,-9.012556
15.521772,14.906983
15.704424,14.755734
-9.3754,8.08887
9.884697,4.565423
4.614282,18.776457
6.7757316,15.743946
8.525856,16.78077
2.5764456,-6.3031335
9.458835,4.088156
-6.2054567,15.315612
-5.0917974,5.3705173
10.8389435,11.99153
-5.836007,15.424479
2.5404482,-6.2988296
10.66982,5.7135425
11.081098,2.5276172
10.710874,5.749672
11.901498,3.3243878
9.454554,4.078095
6.540547,15.28902
10.666673,12.2915
10.506865,12.396403
9.390614,26.50198
-3.7018828,-1.9630531
-12.711775,9.770123
11.245008,3.454354
4.2204733,-3.1770341
8.986045,15.441783
4.241995,9.052082
-7.1434793,15.084067
-6.581455,15.425101
-5.8766956,15.402696
15.066748,14.377239
10.775346,3.1323657
10.838908,11.997836
11.26997,-7.6894813
2.5920372,-6.303889
-8.033083,21.031507
-7.529456,8.446621
3.2245622,1.9920722
11.504839,1.1068717
14.068265,-0.56473565
-3.915976,-12.285825
14.33263,0.08969785
12.518995,11.58268
11.244752,3.4331691
11.5091,1.1429855
4.185042,8.987753
17.904327,-11.341587
-9.5902405,10.635718
-2.7261813,20.865156
12.178399,0.83415705
-8.15929,20.870129
13.257667,0.32375637
11.2270355,2.615136
5.0146923,-5.817207
-4.070526,-11.496967
18.09351,-5.4364796
15.057865,0.41459098
-1.6403664,-8.898337
14.0816555,-0.62251204
-1.6116654,-8.974355
2.631876,-6.2994275
14.816988,14.222506
-1.6041769,-8.997341
6.8654437,-7.321449
11.8934355,3.383023
15.5247345,2.4224784
